-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          Observed  |            Ritz    |      Rel. |    Aki    | Acc. |       Ei           Ek       |                Lower level                |                Upper level                 |Type|    TP  |    Line  |
         Wavelength |         Wavelength |      Int. |    s^-1   |      |     (cm-1)       (cm-1)     |-------------------------------------------|--------------------------------------------|    |   Ref. |    Ref.  |
          Air  (Å)  |          Air  (Å)  |      (?)  |           |      |                             | Conf.     | Term                   | J    | Conf.     | Term                    | J    |    |        |          |
          3515.164  |          3515.1597 |      200h | 5.6e+05   |      | 110604.447   -  139044.524  | 5d9.6s.6p | (2D<3/2>,3P<2>)*       | 7/2  | 5d10.6g   | 2G                      | 9/2  |    |  T7226 |  L11760  |
          3515.164  |          3515.1600 |      200h | 2.0e+04   |      | 110604.447   -  139044.521  | 5d9.6s.6p | (2D<3/2>,3P<2>)*       | 7/2  | 5d10.6g   | 2G                      | 7/2  |    |  T7226 |  L11760  |
          3532.594  |          3532.599  |    100000 | 3.0e+07   |      | 104984.138   -  133283.820  | 5d10.6d   | 2D                     | 3/2  | 5d10.6f   | 2F*                     | 5/2  |    |  T7226 |  L11760  |
                    |                    |           |           |      |                             |           |                        |      |           |                         |      |    |        |          |
          3541.352  |          3541.3493 |      100h | 3.0e+04   |      |  97095.774   -  125325.531  | 5d9.6s.6p | (2D<3/2>,3P<0>)*       | 3/2  | 5d10.7d   | 2D                      | 3/2  |    |  T7226 |  L11760  |
          3549.411  |          3549.4074 |     30000 | 1.5e+07   |      | 111971.464   -  140137.134  | 5d10.7p   | 2P*                    | 3/2  | 5d9.6s.7s | [(2D<5/2>,1/2)<2>,1/2]  | 5/2  |    |  T7226 |  L11760  |
          3562.385  |                    |       100 |           |      |                             |           |                        |      |           |                         |      |    |        |  L11760  |
          3602.931  |          3602.9286 |      600c | 9.8e+05   |      | 111174.092   -  138921.375  | 5d9.6s.6p | (2D<3/2>,3P<2>)*       | 5/2  | 5d9.6s.7s | [(2D<5/2>,1/2)<2>,1/2]  | 3/2  |    |  T7226 |  L11760  |
          3603.908  |          3603.903  |      1500 | 2.0e+06   |      | 105544.042   -  133283.820  | 5d10.6d   | 2D                     | 5/2  | 5d10.6f   | 2F*                     | 5/2  |    |  T7226 |  L11760  |
                    |                    |           |           |      |                             |           |                        |      |           |                         |      |    |        |          |
          3604.085  |          3604.0843 |    45000c | 1.4e+07   |      | 108975.732   -  136714.118  | 5d9.6s.6p | (2D<5/2>,1P<1>)*       | 5/2  | 5d9.6s.7s | [(2D<5/2>,1/2)<3>,1/2]  | 5/2  |    |  T7226 |  L11760  |
          3605.762  |          3605.7616 |    100000 | 3.0e+07   |      | 105544.042   -  133269.525  | 5d10.6d   | 2D                     | 5/2  | 5d10.6f   | 2F*                     | 7/2  |    |  T7226 |  L11760  |
          3606.885  |          3606.8854 |      8000 | 5.7e+06   |      | 111971.464   -  139688.308  | 5d10.7p   | 2P*                    | 3/2  | 5d10.9d   | 2D                      | 5/2  |    |  T7226 |  L11760  |
          3614.875  |          3614.8760 |       450 | 8.5e+05   |      | 111971.464   -  139627.043  | 5d10.7p   | 2P*                    | 3/2  | 5d10.9d   | 2D                      | 3/2  |    |  T7226 |  L11760  |
          3632.363  |          3632.3593 |      8000 | 3.5e+06   |      | 109191.648   -  136714.118  | 5d9.6s.6p | (2D<3/2>,3P<2>)*       | 3/2  | 5d9.6s.7s | [(2D<5/2>,1/2)<3>,1/2]  | 5/2  |    |  T7226 |  L11760  |
                    |                    |           |           |      |                             |           |                        |      |           |                         |      |    |        |          |
          3643.293  |          3643.2961 |      100h | 1.2e+04   |      | 106215.059   -  133654.913  | 5d9.6s.6p | (2D<5/2>,1P<1>)*       | 7/2  | 5d10.5g   | 2G                      | 7/2  |    |  T7226 |  L11760  |
          3643.293  |          3643.3006 |      100h | 3.4e+05   |      | 106215.059   -  133654.879  | 5d9.6s.6p | (2D<5/2>,1P<1>)*       | 7/2  | 5d10.5g   | 2G                      | 9/2  |    |  T7226 |  L11760  |
          3751.759  |                    |      100h |           |      |                             |           |                        |      |           |                         |      |    |        |  L11760  |
          3776.141  |          3776.1415 |     6000h | 2.6e+07   |      | 106086.013   -  132560.550  | 5d9.6s.6p | (2D<5/2>,1P<1>)*       | 3/2  | 5d10.9s   | 2S                      | 1/2  |    |  T7226 |  L11760  |
          3777.755  |          3777.757  |       900 | 2.7e+06   |      | 111971.464   -  138434.682  | 5d10.7p   | 2P*                    | 3/2  | 5d10.10s  | 2S                      | 1/2  |    |  T7226 |  L11760  |
                    |                    |           |           |      |                             |           |                        |      |           |                         |      |    |        |          |
