----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          Observed  |            Ritz    |  Rel. |    Aki    | Acc. |        Ei           Ek        |              Lower level              |              Upper level               |Type|                  TP  |   Line  |
         Wavelength |         Wavelength |  Int. |    s^-1   |      |      (cm-1)       (cm-1)      |---------------------------------------|----------------------------------------|    |                 Ref. |   Ref.  |
          Air  (Å)  |          Air  (Å)  |  (?)  |           |      |                               | Conf.                 | Term    | J   | Conf.                  | Term    | J   |    |                      |         |
           4259.362 |           4259.362 |   200 | 3.98e+06  | C    |  95399.8276   -  118870.9170  | 3s2.3p5.(2P*<1/2>).4s | 2[1/2]* | 1   | 3s2.3p5.(2P*<1/2>).5p  | 2[1/2]  | 0   |    | T1419n,T1218n,T1164n |  L2634  |
                    |                    |       |           |      |                               |                       |         |     |                        |         |     |    |                      |         |
           4266.286 |           4266.287 |   100 | 3.12e+05  | C    |  93750.5978   -  117183.5901  | 3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 1   | 3s2.3p5.(2P*<3/2>).5p  | 2[3/2]  | 2   |    | T1419n,T1218n,T1164n |  L2634  |
           4272.169 |           4272.169 |   150 | 7.97e+05  | C    |  93750.5978   -  117151.3264  | 3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 1   | 3s2.3p5.(2P*<3/2>).5p  | 2[3/2]  | 1   |    | T1419n,T1218n,T1164n |  L2634  |
           4300.101 |           4300.101 |   100 | 3.77e+05  | C    |  93750.5978   -  116999.3259  | 3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 1   | 3s2.3p5.(2P*<3/2>).5p  | 2[5/2]  | 2   |    | T1419n,T1218n,T1164n |  L2634  |
           4333.561 |           4333.561 |   100 | 5.68e+05  | C    |  95399.8276   -  118469.0508  | 3s2.3p5.(2P*<1/2>).4s | 2[1/2]* | 1   | 3s2.3p5.(2P*<1/2>).5p  | 2[3/2]  | 2   |    |        T1419n,T1218n |  L2634  |
           4335.338 |           4335.338 |    50 | 3.87e+05  | C    |  95399.8276   -  118459.5975  | 3s2.3p5.(2P*<1/2>).4s | 2[1/2]* | 1   | 3s2.3p5.(2P*<1/2>).5p  | 2[1/2]  | 1   |    |        T1419n,T1218n |  L2634  |
                    |                    |       |           |      |                               |                       |         |     |                        |         |     |    |                      |         |
           4345.168 |           4345.168 |    25 | 2.97e+05  | C    |  95399.8276   -  118407.4303  | 3s2.3p5.(2P*<1/2>).4s | 2[1/2]* | 1   | 3s2.3p5.(2P*<1/2>).5p  | 2[3/2]  | 1   |    | T1419n,T1218n,T1164n |  L2634  |
                    |           4363.795 |       | 1.2e+04   | D    |  93750.5978   -  116659.9934  | 3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 1   | 3s2.3p5.(2P*<3/2>).5p  | 2[1/2]  | 1   |    | T1419n,T1218n,T1164n |         |
                    |           4423.994 |       | 7.3e+03   | D    |  94553.6652   -  117151.3264  | 3s2.3p5.(2P*<1/2>).4s | 2[1/2]* | 0   | 3s2.3p5.(2P*<3/2>).5p  | 2[3/2]  | 1   |    | T1419n,T1218n,T1164n |         |
           4510.733 |           4510.733 |   100 | 1.18e+06  | C    |  95399.8276   -  117562.9553  | 3s2.3p5.(2P*<1/2>).4s | 2[1/2]* | 1   | 3s2.3p5.(2P*<3/2>).5p  | 2[1/2]  | 0   |    | T1419n,T1218n,T1164n |  L2634  |
