---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
           Observed  |             Ritz    |   Rel. |    Aki    | Acc. |        Ei           Ek        |              Lower level              |              Upper level               |Type|        TP  |   Line  |
          Wavelength |          Wavelength |   Int. |    s^-1   |      |      (cm-1)       (cm-1)      |---------------------------------------|----------------------------------------|    |       Ref. |   Ref.  |
           Air  (Å)  |           Air  (Å)  |   (?)  |           |      |                               | Conf.                 | Term    | J   | Conf.                  | Term    | J   |    |            |         |
           4013.752  |           4013.75+  |     10 |           |      | 148257.7898   -  173165.09    | 2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1   | 2s2.2p5.(2P*<3/2>).12d | 2[3/2]* | 2   |    |            |  L3469  |
           4013.995  |           4013.97+  |     20 |           |      | 148257.7898   -  173163.72    | 2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1   | 2s2.2p5.(2P*<3/2>).12d | 2[1/2]* | 1   |    |            |  L3469  |
           4020.015  |           4020.04+  |     20 |           |      | 148257.7898   -  173126.12    | 2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1   | 2s2.2p5.(2P*<3/2>).13s | 2[3/2]* | 2   |    |            |  L3469  |
                     |                     |        |           |      |                               |                       |         |     |                        |         |     |    |            |         |
           4037.262  |           4037.26+  |     50 |           |      | 148257.7898   -  173020.06    | 2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1   | 2s2.2p5.(2P*<3/2>).11d | 2[3/2]* | 2   |    |            |  L3469  |
           4037.615  |           4037.60+  |    150 |           |      | 148257.7898   -  173017.98    | 2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1   | 2s2.2p5.(2P*<3/2>).11d | 2[1/2]* | 1   |    |            |  L3469  |
           4037.696  |           4037.70+  |     50 |           |      | 148257.7898   -  173017.39    | 2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1   | 2s2.2p5.(2P*<3/2>).11d | 2[1/2]* | 0   |    |            |  L3469  |
           4042.327  |           4042.33+  |    100 |           |      | 148257.7898   -  172988.99    | 2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1   | 2s2.2p5.(2P*<1/2>).8d  | 2[3/2]* | 1   |    |            |  L3469  |
           4042.642  |           4042.65+  |    500 |           |      | 148257.7898   -  172987.07    | 2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1   | 2s2.2p5.(2P*<1/2>).8d  | 2[3/2]* | 2   |    |            |  L3469  |
                     |                     |        |           |      |                               |                       |         |     |                        |         |     |    |            |         |
           4045.662  |           4045.68+  |     20 |           |      | 148257.7898   -  172968.51    | 2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1   | 2s2.2p5.(2P*<3/2>).12s | 2[3/2]* | 2   |    |            |  L3469  |
