-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                    Observed  |                      Ritz    |    Rel. |     Aki    | Acc. |             Ei           Ek             |     Lower level     |     Upper level     |Type|    TP  |      Line  |
                   Wavelength |                   Wavelength |    Int. |     s^-1   |      |           (cm-1)       (cm-1)           |---------------------|---------------------|    |   Ref. |      Ref.  |
                    Air  (Å)  |                    Air  (Å)  |    (?)  |            |      |                                         | Conf.  | Term | J   | Conf.  | Term | J   |    |        |            |
                              |                3889.0486     |         |            |      |                                         |        |      |     |        |      |     |    |        |       c52  |
                3889.064      |                3889.0556     |   70000 | 2.2148e+05 | AAA  | 82259.158          -  107965.0568       | 2      |      |     | 8      |      |     |    |  T8637 |  L7436c29  |
                              |                3889.07488331 |         |            |      | 82259.2850014      -  107965.05677174   | 2p     | 2P*  | 3/2 | 8d     | 2D   | 5/2 |    |        |            |
                              |                              |         |            |      |                                         |        |      |     |        |      |     |    |        |            |
                              |                3889.0749     |         |            |      |                                         |        |      |     |        |      |     |    |        |       c53  |
                              |                3889.07517165 |         |            |      | 82259.2850014      -  107965.0548660    | 2p     | 2P*  | 3/2 | 8d     | 2D   | 3/2 |    |        |            |
                              |                3889.07595104 |         |            |      | 82259.2850014      -  107965.0497145    | 2p     | 2P*  | 3/2 | 8s     | 2S   | 1/2 |    |        |            |
                              |                3970.041763   |         |            |      | 82258.9191133      - [107440.447022]    | 2p     | 2P*  | 1/2 | 7d     | 2D   | 3/2 |    |        |            |
                              |                3970.042976   |         |            |      | 82258.9191133      - [107440.43933]     | 2p     | 2P*  | 1/2 | 7s     | 2S   | 1/2 |    |        |            |
                              |                              |         |            |      |                                         |        |      |     |        |      |     |    |        |            |
                              |                3970.0448     |         |            |      |                                         |        |      |     |        |      |     |    |        |       c54  |
                              |                3970.047325   |         |            |      | 82258.9543992821   - [107440.44703]     | 2s     | 2S   | 1/2 | 7p     | 2P*  | 3/2 |    |        |            |
                              |                3970.048540   |         |            |      | 82258.9543992821   - [107440.43933]     | 2s     | 2S   | 1/2 | 7s     | 2S   | 1/2 | M1 |        |            |
                              |                3970.048671   |         |            |      | 82258.9543992821   - [107440.43850]     | 2s     | 2S   | 1/2 | 7p     | 2P*  | 1/2 |    |        |            |
                              |                3970.0719     |         |            |      |                                         |        |      |     |        |      |     |    |        |       c55  |
                              |                              |         |            |      |                                         |        |      |     |        |      |     |    |        |            |
                3970.075      |                3970.0788     |   30000 | 4.3889e+05 | AAA  | 82259.158          -  107440.4508       | 2      |      |     | 7      |      |     |    |  T8637 |  L7436c29  |
                              |                3970.099002   |         |            |      | 82259.2850014      - [107440.449866]    | 2p     | 2P*  | 3/2 | 7d     | 2D   | 5/2 |    |        |            |
                              |                3970.0991     |         |            |      |                                         |        |      |     |        |      |     |    |        |       c56  |
                              |                3970.099450   |         |            |      | 82259.2850014      - [107440.447022]    | 2p     | 2P*  | 3/2 | 7d     | 2D   | 3/2 |    |        |            |
                              |                3970.100664   |         |            |      | 82259.2850014      - [107440.43933]     | 2p     | 2P*  | 3/2 | 7s     | 2S   | 1/2 |    |        |            |
                              |                              |         |            |      |                                         |        |      |     |        |      |     |    |        |            |
                              |                4101.70228371 |         | 4.2877e+06 | AAA  | 82258.9191133      - [106632.1620536]   | 2p     | 2P*  | 1/2 | 6d     | 2D   | 3/2 |    |  T8637 |            |
                              |                4101.70433887 |         | 2.4501e+05 | AAA  | 82258.9191133      -  106632.1498416    | 2p     | 2P*  | 1/2 | 6s     | 2S   | 1/2 |    |  T8637 |            |
                              |                4101.7056     |         |            |      |                                         |        |      |     |        |      |     |    |        |       c57  |
                4101.70746200 |                4101.70746200 |         |            |      | 82258.9543992821   -  106632.1665697    | 2s     | 2S   | 1/2 | 6d     | 2D   | 5/2 | E2 |        |    L11759  |
                              |                4101.70821833 |         | 2.8583e+06 | AAA  | 82258.9543992821   - [106632.1620756]   | 2s     | 2S   | 1/2 | 6p     | 2P*  | 3/2 |    |  T8637 |            |
                              |                              |         |            |      |                                         |        |      |     |        |      |     |    |        |            |
                4101.71027719 |                4101.71027719 |         |            |      | 82258.9543992821   -  106632.1498416    | 2s     | 2S   | 1/2 | 6s     | 2S   | 1/2 | M1 |        |    L11759  |
                              |                4101.71049891 |         | 2.8584e+06 | AAA  | 82258.9543992821   - [106632.1485242]   | 2s     | 2S   | 1/2 | 6p     | 2P*  | 1/2 |    |  T8637 |            |
                4101.734      |                4101.7415     |   70000 | 9.7320e+05 | AAA  | 82259.158          -  106632.1681       | 2      |      |     | 6      |      |     |    |  T8637 |  L7436c29  |
                              |                4101.7346     |         |            |      |                                         |        |      |     |        |      |     |    |        |       c58  |
                              |                4101.76310010 |         | 5.1450e+06 | AAA  | 82259.2850014      -  106632.1665697    | 2p     | 2P*  | 3/2 | 6d     | 2D   | 5/2 |    |  T8637 |            |
                              |                              |         |            |      |                                         |        |      |     |        |      |     |    |        |            |
                              |                4101.7632     |         |            |      |                                         |        |      |     |        |      |     |    |        |       c59  |
                              |                4101.76386014 |         | 8.5748e+05 | AAA  | 82259.2850014      - [106632.1620536]   | 2p     | 2P*  | 3/2 | 6d     | 2D   | 3/2 |    |  T8637 |            |
                              |                4101.76591536 |         | 4.9006e+05 | AAA  | 82259.2850014      -  106632.1498416    | 2p     | 2P*  | 3/2 | 6s     | 2S   | 1/2 |    |  T8637 |            |
                              |                4340.426937   |         | 7.8548e+06 | AAA  | 82258.9191133      -  105291.651993     | 2p     | 2P*  | 1/2 | 5d     | 2D   | 3/2 |    |  T8637 |            |
                              |                4340.4309     |         |            |      |                                         |        |      |     |        |      |     |    |        |       c60  |
                              |                              |         |            |      |                                         |        |      |     |        |      |     |    |        |            |
                              |                4340.430904   |         | 4.2955e+05 | AAA  | 82258.9191133      - [105291.63094]     | 2p     | 2P*  | 1/2 | 5s     | 2S   | 1/2 |    |  T8637 |            |
                              |                4340.433569   |         | 4.9483e+06 | AAA  | 82258.9543992821   -  105291.65209      | 2s     | 2S   | 1/2 | 5p     | 2P*  | 3/2 |    |  T8637 |            |
                              |                4340.437553   |         |            |      | 82258.9543992821   - [105291.63094]     | 2s     | 2S   | 1/2 | 5s     | 2S   | 1/2 | M1 |        |            |
                              |                4340.437982   |         | 4.9484e+06 | AAA  | 82258.9543992821   -  105291.62867      | 2s     | 2S   | 1/2 | 5p     | 2P*  | 1/2 |    |  T8637 |            |
                              |                4340.4634     |         |            |      |                                         |        |      |     |        |      |     |    |        |       c61  |
                              |                              |         |            |      |                                         |        |      |     |        |      |     |    |        |            |
                4340.472      |                4340.471      |   90000 | 2.5304e+06 | AAA  | 82259.158          -  105291.657        | 2      |      |     | 5      |      |     |    |  T8637 |  L7436c29  |
