--- GHOST SPOTS (Python Only) ---
Fiber,Wavelength,X,Y
127,8864.75,1106.406850447577,2336.0172751687114
127,8933.282,1106.0884144948109,2450.5716483925335
127,9377.33,1102.380035766606,3210.4074752280217
128,8670.325,1114.0589668864993,2013.8452831750096
128,9227.03,1111.1255289322792,2949.015193529378
128,7490.9335,1107.6198391485518,135.7134137375183
128,8378.661,1113.4862199434563,1539.0135272747475
128,8379.9093,1113.491506440949,1541.0290492814104
128,8419.4727,1113.64759911708,1604.9772076430068
128,8420.7398,1113.652223709262,1607.0275051804597
128,8681.8775,1114.0518553530173,2032.8314957907369
128,8684.3062,1114.0500556928084,2036.824911171758
128,8774.0664,1113.90890585611,2184.8969174768945
128,8783.0336,1113.8868043585464,2199.7429506611825
128,8786.166,1113.8787418829443,2204.931290258767
128,8868.1905,1113.6050035208314,2341.24009073584
128,9222.59,1111.1667585508828,2941.3695924165704
128,9224.1108,1111.1526592126402,2943.988007077257
128,9375.8796,1109.646710490196,3207.2936151275658
128,8776.46,1113.9031483939948,2188.8587679158454
128,8779.1607,1113.896528016464,2193.3297787469564
128,8931.1447,1113.3145593343115,2446.4691968556263
128,9354.8,1109.8653371007306,3170.482997587491
128,8864.75,1113.6188892879172,2335.504882781085
128,8933.282,1113.3035050800463,2450.051447861224
128,9377.33,1109.631588387637,3209.8292639842057
128,9720.83,1106.098058375499,3820.5424684688664
129,8670.325,1121.3864534288216,2013.3504685610587
129,9227.03,1118.4632720634283,2948.453944325487
129,8378.661,1120.8100998374614,1538.5456446110609
129,8379.9093,1120.8153887879155,1540.5610675410667
129,8419.4727,1120.9716429252103,1604.5060380107866
129,8420.7398,1120.9762752320291,1606.5562317629697
129,8681.8775,1121.3795471339556,2032.3354141106279
129,8684.3062,1121.3777907057251,2036.328561031125
129,8774.0664,1121.2382326584448,2184.390164439373
129,8783.0336,1121.2162873934026,2199.235110901718
129,8786.166,1121.2082793059608,2204.423069079475
129,8868.1905,1120.935927248397,2340.721600879102
129,9222.59,1118.504378303559,2940.808751823037
129,9224.1108,1118.4903210181542,2943.427025958944
129,9375.8796,1116.9898703211613,3206.7219065650647
129,8776.46,1121.2325169749413,2188.351725562884
129,8779.1607,1121.225943670661,2192.8224092897985
129,8931.1447,1120.6465044593251,2445.942590465967
129,9354.8,1117.207558057625,3169.912363223541
129,8864.75,1120.9497563182897,2334.986832519573
129,8933.282,1120.6354845395078,2449.5245646443136
129,9377.33,1116.974815150467,3209.2574866146815
129,9720.83,1113.465593348479,3819.9665864386034
130,9227.03,1125.6999574763458,2947.9700595849645
130,7490.9335,1122.1928264204112,134.8606194684735
130,8378.661,1128.020133868285,1538.142492124827
130,8379.9093,1128.0253927263293,1540.1578150425883
130,8419.4727,1128.180772775315,1604.0994890279262
130,8420.7398,1128.185379645406,1606.1495732890535
130,8681.8775,1128.5870148365836,2031.902591537145
130,8684.3062,1128.5852801716333,2035.895475401848
130,8774.0664,1128.4470905912563,2183.947343118204
130,8783.0336,1128.4253457351676,2198.7913225122998
130,8786.166,1128.4174105294433,2203.9789434059285
130,8868.1905,1128.1475224563337,2340.268787090715
130,9222.59,1125.74061456914,2940.325160580706
130,9224.1108,1125.7267108204226,2942.943333914679
130,9375.8796,1124.2426865451423,3206.2295245731157
130,8776.46,1128.4414272148474,2187.908645895043
130,8779.1607,1128.434913965153,2192.37903830788
130,8931.1447,1127.86076707432,2445.4833844781288
130,9354.8,1124.4580261759743,3169.421034295392
130,8864.75,1128.1612258252815,2334.5343760903443
130,8933.282,1127.8498502467755,2449.0651470607
130,9377.33,1124.2277926379306,3208.765033840448
130,9720.83,1120.7386332342394,3819.4612757034856
131,8670.325,1135.8362004825494,2012.4218429691737
131,9227.03,1132.962794563763,2947.4107356217505
131,7440.9469,1129.2208748737457,57.35654230790942
131,7490.9335,1129.4577402053105,134.40182776600182
131,8378.661,1135.2657726218767,1537.673246661376
131,8379.9093,1135.2709971653826,1539.6884822860266
131,8419.4727,1135.4253587615449,1603.6272457101265
131,8420.7398,1135.429935373142,1605.677232103264
131,8681.8775,1135.8294932167173,2031.404166820692
131,8684.3062,1135.8277832691056,2035.3967602995106
131,8774.0664,1135.6910935918124,2183.4375140330476
131,8783.0336,1135.6695595152626,2198.280352575812
131,8786.166,1135.661700441519,2203.4675741187652
131,8868.1905,1135.3942411607857,2339.746896481383
131,9222.59,1133.0032489765304,2939.7661276415033
131,9224.1108,1132.9894147616017,2942.3842006786235
131,9375.8796,1131.511553664285,3205.663525112809
131,8776.46,1135.68548543417,2187.3985126493135
131,8779.1607,1135.6790354027075,2191.868561551568
131,8931.1447,1135.109852012338,2444.9535286328505
131,9354.8,1131.7261455043151,3168.85563864256
131,8864.75,1135.4078268108528,2334.012926167442
131,8933.282,1135.0990219921719,2448.535025502615
131,9377.33,1131.4967097782608,3208.1989964157283
131,9720.83,1128.0163313335004,3818.8842773950105
132,8670.325,1143.156057645766,2011.9686762989695
132,9227.03,1140.2972815852586,2946.8901107949287
132,9787.186,1134.813808147262,3938.491639831812
132,7440.9469,1136.5755201757333,56.97521871053459
132,8378.661,1142.5825646644023,1537.2466449602039
132,8379.9093,1142.5877871138075,1539.2617670685554
132,8419.4727,1142.7421465100015,1603.1969174056294
132,8420.7398,1142.7467251531832,1605.246787732436
132,8681.8775,1143.1496134748193,2030.949950545053
132,8684.3062,1143.1479599882766,2034.942323051902
132,8774.0664,1143.0136014402663,2182.9747696508352
132,8783.0336,1142.992322228591,2197.8167557237994
132,8786.166,1142.984552929459,2203.0036781639046
132,8868.1905,1142.7195450400175,2339.274858693523
132,9222.59,1140.3376628025474,2939.2462535195514
132,9224.1108,1140.323853772628,2941.8640697340147
132,9375.8796,1138.8481798479775,3205.1170768014345
132,8776.46,1143.0080609954416,2186.9355412519726
132,8779.1607,1143.0016876451566,2191.405333551856
132,8931.1447,1142.4370892338786,2444.474697597863
132,9354.8,1139.0624677446592,3168.3128022503565
132,8864.75,1142.7330252563595,2333.541244150112
132,8933.282,1142.4263244144101,2448.0559534446593
132,9377.33,1138.83335760002,3207.6523022875667
133,8670.325,1150.318491105244,2011.4825583630497
133,9227.03,1147.479634037594,2946.357732537951
133,9356.787,1146.2334570004107,3171.2440184727893
133,7490.9335,1143.9752357842397,133.57643328786685
133,8378.661,1149.7465098907333,1536.789700893369
133,8379.9093,1149.7517121570104,1538.8047242802527
133,8419.4727,1149.905487578923,1602.7365969245238
133,8420.7398,1149.9100493337673,1604.7863576391899
133,8681.8775,1150.3121338290882,2030.4625278168276
133,8684.3062,1150.3105001806184,2034.4546257557631
133,8774.0664,1150.177270291716,2182.4769711641084
133,8783.0336,1150.1561474800883,2197.317964573797
133,8786.166,1150.148434739186,2202.50454145994
133,8868.1905,1149.8852715595267,2338.766977359411
133,9222.59,1147.5197320904153,2938.7140062092035
133,9224.1108,1147.5060198874457,2941.331777110492
133,9375.8796,1146.0405935056276,3204.5822303101013
133,8776.46,1150.1717707975288,2186.4374773163036
133,8779.1607,1150.1654443479708,2190.9069705220068
133,8931.1447,1149.6047228087386,2443.9606646719885
133,9354.8,1146.2534227073597,3167.7781378913223
133,8864.75,1149.8986600415415,2333.033715119574
133,8933.282,1149.5940304178396,2447.541722523024
133,9377.33,1146.0258714814906,3207.1174442405545
133,9687.98,1142.8812773506993,3758.5310760262532
134,8670.325,1157.5499879301608,2011.0233916252942
134,9227.03,1154.7338383017184,2945.8327920333836
